폴더,label_번호,중복_tracking_id
2020-11-19-12-33-01-02,llab_000095.txt,"[('99', '2번')]"
2020-11-19-12-33-01-02,llab_000094.txt,"[('99', '2번')]"
2020-11-19-12-33-01-02,llab_000092.txt,"[('99', '2번')]"
2020-11-19-12-33-01-02,llab_000082.txt,"[('90', '2번')]"
2020-11-19-12-33-01-02,llab_000073.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000072.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000071.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000070.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000069.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000068.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000067.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000066.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000065.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000064.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000063.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000062.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000061.txt,"[('84', '2번')]"
2020-11-19-12-33-01-02,llab_000043.txt,"[('55', '2번')]"
2020-11-19-12-33-01-02,llab_000042.txt,"[('55', '2번')]"
2020-11-19-12-33-01-02,llab_000041.txt,"[('55', '3번')]"
2020-11-19-12-33-01-02,llab_000036.txt,"[('50', '2번')]"
2020-11-19-12-33-01-02,llab_000010.txt,"[('14', '2번')]"
2020-11-19-12-33-01-02,llab_000000.txt,"[('0', '2번')]"
2020-11-19-13-49-14-04,llab_000013.txt,"[('10', '3번')]"
2020-11-19-14-41-53-02,llab_000030.txt,"[('8', '2번')]"
2020-11-19-15-28-40-03,llab_000129.txt,"[('58', '2번')]"
2020-11-19-15-38-40-04,llab_000052.txt,"[('99', '2번')]"
2020-11-19-15-38-40-04,llab_000051.txt,"[('99', '2번')]"
2020-11-19-15-38-40-04,llab_000040.txt,"[('18', '2번')]"
2020-11-19-15-38-40-04,llab_000039.txt,"[('18', '2번')]"
2020-11-19-15-38-40-04,llab_000038.txt,"[('18', '2번')]"
2020-11-19-15-38-40-04,llab_000037.txt,"[('18', '2번')]"
2020-11-19-15-38-40-04,llab_000036.txt,"[('18', '2번')]"
2020-11-19-15-38-40-04,llab_000002.txt,"[('3', '2번')]"
2020-11-19-16-01-16-01,llab_000132.txt,"[('1', '2번')]"
2020-11-19-16-01-16-01,llab_000111.txt,"[('27', '2번')]"
2020-11-19-16-01-16-01,llab_000066.txt,"[('1', '2번')]"
2020-11-25-07-11-16-03,llab_000113.txt,"[('27', '2번')]"
2020-11-25-07-21-16-03,llab_000170.txt,"[('58', '2번')]"
2020-11-25-07-31-04-02,llab_000179.txt,"[('96', '2번')]"
2020-11-25-07-31-04-02,llab_000170.txt,"[('97', '2번')]"
2020-11-25-07-31-04-02,llab_000169.txt,"[('97', '2번')]"
2020-11-25-07-31-04-04,llab_000005.txt,"[('6', '2번')]"
2020-11-25-07-31-04-04,llab_000004.txt,"[('6', '2번')]"
2020-11-25-07-31-04-04,llab_000003.txt,"[('6', '2번')]"
2020-11-25-07-31-20-01,llab_000179.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000178.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000177.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000176.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000175.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000174.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000173.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000172.txt,"[('92', '2번')]"
2020-11-25-07-31-20-01,llab_000171.txt,"[('92', '2번')]"
2020-11-25-09-03-35-01,llab_000041.txt,"[('20', '2번')]"
2020-11-25-09-08-53-01,llab_000123.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000122.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000121.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000120.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000118.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000112.txt,"[('6', '2번')]"
2020-11-25-09-08-53-01,llab_000110.txt,"[('6', '2번')]"
